iter	RMSE
0	0.2921299047
1	0.2894637267
2	0.2869314565
3	0.2845312089
4	0.2822461904
5	0.2800725618
6	0.2780157665
7	0.2760730894
8	0.2742267925
9	0.2724704469
10	0.2708133855
11	0.2692403471
12	0.2677463198
13	0.266326738
14	0.2649814594
15	0.2637075349
16	0.2625058597
17	0.2613676556
18	0.2602899182
19	0.2592634919
20	0.2582906912
21	0.2573570001
22	0.2564852968
23	0.2556996013
24	0.2548949442
25	0.2541586515
26	0.253448675
27	0.2527826721
28	0.2521542923
29	0.2515843147
30	0.2510441
31	0.250528627
32	0.2500414403
33	0.2495608446
34	0.2491026564
35	0.248622822
36	0.2482278048
37	0.2478479361
38	0.2474325386
39	0.2470956405
40	0.2467194392
41	0.2464182103
42	0.2460868639
43	0.2457650079
44	0.2454815031
45	0.2451850639
46	0.2449053323
47	0.2446874892
48	0.2444433757
49	0.2442184993
50	0.2439891774
51	0.243792311
52	0.2435855398
53	0.2433866795
54	0.243185502
55	0.2430251692
56	0.2428314121
57	0.2426602689
58	0.2425031722
59	0.2423613991
60	0.2422115205
61	0.2420741729
62	0.2419470542
63	0.2418417288
64	0.2417222408
65	0.2416049509
66	0.2415119125
67	0.2414027994
68	0.241299297
69	0.2412067576
70	0.241120772
71	0.2410416092
72	0.2409440145
73	0.2408529083
74	0.2407698906
75	0.2406928806
76	0.2406094372
77	0.2405262106
78	0.2404637896
79	0.2403941187
80	0.2403256229
81	0.2402561152
82	0.2401866045
83	0.2401246212
84	0.2400630991
85	0.2399911228
86	0.2399186493
87	0.2398526365
88	0.2397997468
89	0.2397474362
90	0.2396863097
91	0.2396269208
92	0.239576692
93	0.2395196672
94	0.2394553479
95	0.2394088312
96	0.2393505226
97	0.2393097807
98	0.2392512937
99	0.2392025665
100	0.2391585929
101	0.239114457
102	0.2390521444
103	0.2390127302
104	0.2389631918
105	0.2389147124
106	0.238883609
107	0.2388520561
108	0.2388002828
109	0.2387608101
110	0.2387178614
111	0.2386762969
112	0.2386402965
113	0.2386084389
114	0.2385699257
115	0.2385359442
116	0.2384946469
117	0.238459465
118	0.2384246269
119	0.2383896222
120	0.2383541239
121	0.238328458
122	0.2382910773
123	0.2382543398
124	0.2382190299
125	0.2381894228
126	0.2381562946
127	0.2381261542
128	0.2380990831
129	0.2380695058
130	0.2380409687
131	0.2380174979
132	0.2379957667
133	0.2379685892
134	0.2379429454
135	0.2379137038
136	0.2378881775
137	0.237869331
138	0.2378475684
139	0.2378173251
140	0.2377969469
141	0.2377773307
142	0.2377567727
143	0.2377315302
144	0.2376964943
145	0.237671886
146	0.2376492766
147	0.2376147791
148	0.2375929366
149	0.2375701749
150	0.2375448116
151	0.2375126515
152	0.2374919064
153	0.2374696884
154	0.2374403721
155	0.2374131156
156	0.2373979301
157	0.2373767771
158	0.2373542087
159	0.2373315215
160	0.2373188494
161	0.237296078
162	0.2372601741
163	0.2372344373
164	0.237215846
165	0.2371920049
166	0.2371705829
167	0.2371400587
168	0.2371193407
169	0.2371010677
170	0.2370862525
171	0.2370653388
172	0.237046826
173	0.2370290096
174	0.2370024841
175	0.2369725676
176	0.2369514854
177	0.2369341514
178	0.2369125758
179	0.2368966023
180	0.2368806625
181	0.2368550231
182	0.2368351794
183	0.2368203439
184	0.2368055146
185	0.2367876021
186	0.2367737623
187	0.2367589131
188	0.2367413191
189	0.2367258089
190	0.2367091963
191	0.2366902924
192	0.2366731087
193	0.2366535766
194	0.2366357419
195	0.2366288232
196	0.2366086282
197	0.2365935342
198	0.2365620426
199	0.2365474364
200	0.2365260782
201	0.2365110918
202	0.2365016335
203	0.2364911985
204	0.2364802861
205	0.2364673839
206	0.2364418973
207	0.2364230832
208	0.2364001075
209	0.2363847457
210	0.2363747552
211	0.2363665417
212	0.2363546229
213	0.2363381431
214	0.2363260191
215	0.2363149048
216	0.236296832
217	0.2362844793
218	0.236262424
219	0.2362460972
220	0.236235829
221	0.2362256795
222	0.2362179585
223	0.2362076035
224	0.2361983627
225	0.236183336
226	0.2361701344
227	0.2361509437
228	0.236139572
229	0.2361301657
230	0.2361148436
231	0.2361013234
232	0.2360798147
233	0.2360654704
234	0.2360561234
235	0.2360413934
236	0.2360289175
237	0.2360181797
238	0.2360075617
239	0.2359908059
240	0.2359773654
241	0.2359645265
242	0.2359491894
243	0.2359356645
244	0.2359244593
245	0.2359039784
246	0.2358903364
247	0.235881114
248	0.2358671951
249	0.2358369633
250	0.2358217196
251	0.2358100794
252	0.2358002648
253	0.2357893152
254	0.2357813969
255	0.2357706675
256	0.2357539894
257	0.2357385059
258	0.2357320451
259	0.2357203877
260	0.2357106424
261	0.2356974626
262	0.2356868667
263	0.2356700469
264	0.235655089
265	0.2356416473
266	0.2356239302
267	0.2355966309
268	0.2355892703
269	0.2355735434
270	0.2355636762
271	0.2355602842
272	0.2355511936
273	0.2355371592
274	0.2355193736
275	0.2355066386
276	0.2354885329
277	0.2354706674
278	0.2354585814
279	0.2354497704
280	0.2354366687
281	0.2354312301
282	0.2354180584
283	0.2354115434
284	0.2354054659
285	0.2353948219
286	0.2353777133
287	0.235365641
288	0.2353578823
289	0.2353367234
290	0.2353285865
291	0.2353184872
292	0.2352993939
293	0.2352855765
294	0.2352769509
295	0.2352626413
296	0.2352514695
297	0.235241707
298	0.2352329104
299	0.2352285912
300	0.2352197952
301	0.2352009918
302	0.2351881831
303	0.2351813857
304	0.2351747656
305	0.2351548491
306	0.2351449523
307	0.2351320267
308	0.2351144406
309	0.2350919251
310	0.2350818926
311	0.2350748505
312	0.2350654921
313	0.2350573768
314	0.235050837
315	0.2350426718
316	0.2350372282
317	0.2350283742
318	0.2350189067
319	0.2350041719
320	0.2349863645
321	0.2349782693
322	0.2349693104
323	0.2349607405
324	0.2349549261
325	0.2349317973
326	0.2349269486
327	0.2349173176
328	0.2348991389
329	0.2348908847
330	0.2348811895
331	0.2348658607
332	0.2348567785
333	0.234845785
334	0.2348350709
335	0.2348177907
336	0.2348083055
337	0.234797393
338	0.2347816809
339	0.2347736706
340	0.2347605232
341	0.2347510274
