iter	Passed	Remaining
0	154	154476
1	301	150253
2	457	151890
3	600	149603
4	739	147128
5	886	146796
6	1048	148805
7	1198	148632
8	1339	147468
9	1484	146976
10	1628	146392
11	1799	148133
12	1949	148045
13	2128	149940
14	2279	149657
15	2428	149324
16	2577	149068
17	2726	148718
18	2860	147685
19	2995	146773
20	3137	146285
21	3282	145926
22	3429	145692
23	3572	145276
24	3722	145161
25	3863	144736
26	4005	144343
27	4156	144296
28	4302	144061
29	4443	143657
30	4580	143177
31	4743	143489
32	4880	143026
33	5031	142963
34	5175	142682
35	5316	142356
36	5449	141838
37	5582	141324
38	5722	141007
39	5859	140627
40	5994	140222
41	6144	140152
42	6296	140122
43	6452	140193
44	6593	139932
45	6733	139656
46	6880	139514
47	7029	139410
48	7196	139673
49	7340	139475
50	7492	139423
51	7645	139381
52	7782	139049
53	7922	138786
54	8068	138630
55	8215	138483
56	8364	138382
57	8506	138159
58	8653	138019
59	8803	137924
60	8941	137636
61	9080	137383
62	9213	137027
63	9357	136857
64	9496	136608
65	9624	136207
66	9777	136153
67	9906	135775
68	10048	135582
69	10212	135677
70	10389	135940
71	10602	136653
72	10734	136316
73	10872	136053
74	11037	136134
75	11207	136264
76	11349	136044
77	11490	135827
78	11624	135519
79	11755	135190
80	11886	134857
81	12036	134754
82	12193	134717
83	12378	134986
84	12520	134777
85	12664	134601
86	12830	134650
87	12973	134452
88	13102	134117
89	13230	133771
90	13373	133590
91	13505	133295
92	13637	132997
93	13770	132727
94	13915	132559
95	14046	132270
96	14193	132134
97	14323	131830
98	14467	131667
99	14607	131464
100	14738	131185
101	14870	130922
102	15015	130770
103	15149	130518
104	15288	130315
105	15423	130084
106	15553	129809
107	15682	129527
108	15827	129382
109	15958	129122
110	16091	128873
111	16230	128683
112	16360	128424
113	16503	128266
114	16643	128085
115	16780	127878
116	16920	127697
117	17068	127579
118	17220	127487
119	17377	127434
120	17513	127227
121	17651	127032
122	17789	126843
123	17924	126624
124	18072	126510
125	18240	126525
126	18378	126336
127	18519	126163
128	18650	125928
129	18787	125732
130	18923	125528
131	19057	125315
132	19190	125096
133	19325	124897
134	19460	124688
135	19588	124442
136	19715	124194
137	19853	124012
138	19991	123832
139	20135	123687
140	20263	123448
141	20394	123230
142	20531	123046
143	20660	122817
144	20795	122620
145	20924	122391
146	21051	122157
147	21185	121961
148	21320	121771
149	21449	121547
150	21578	121324
151	21726	121212
152	21855	120989
153	21985	120776
154	22119	120585
155	22257	120416
156	22390	120223
157	22521	120020
158	22649	119802
159	22779	119591
160	22914	119409
161	23045	119211
162	23192	119091
163	23328	118920
164	23465	118748
165	23605	118595
166	23736	118398
167	23873	118232
168	24005	118037
169	24136	117842
170	24264	117631
171	24398	117455
172	24527	117251
173	24666	117095
174	24806	116943
175	24981	116957
176	25112	116763
177	25239	116555
178	25374	116381
179	25508	116207
180	25642	116026
181	25780	115871
182	25943	115823
183	26085	115685
184	26211	115471
185	26343	115286
186	26475	115103
187	26607	114923
188	26748	114778
189	26887	114627
190	27018	114440
191	27159	114294
192	27285	114091
193	27424	113939
194	27553	113745
195	27679	113544
196	27832	113448
197	28027	113524
198	28169	113387
199	28297	113188
200	28442	113060
201	28579	112901
202	28710	112719
203	28837	112522
204	29002	112473
205	29169	112429
206	29305	112268
207	29438	112091
208	29576	111938
209	29710	111766
210	29859	111656
211	29997	111500
212	30132	111335
213	30264	111156
214	30400	110998
215	30534	110829
216	30683	110716
217	30825	110574
218	30963	110421
219	31093	110242
220	31231	110086
221	31358	109894
222	31488	109716
223	31621	109546
224	31764	109411
225	31900	109251
226	32032	109078
227	32176	108948
228	32306	108770
229	32433	108580
230	32563	108402
231	32693	108225
232	32845	108123
233	32973	107938
234	33110	107785
235	33257	107665
236	33391	107502
237	33534	107366
238	33683	107252
239	33835	107144
240	33972	106991
241	34103	106820
242	34277	106783
243	34413	106625
244	34566	106522
245	34717	106411
246	34857	106264
247	34989	106096
248	35120	105926
249	35260	105782
250	35402	105644
251	35534	105476
252	35672	105324
253	35818	105198
254	35970	105089
255	36100	104918
256	36246	104789
257	36388	104652
258	36535	104526
259	36675	104382
260	36817	104246
261	36951	104084
262	37086	103926
263	37235	103806
264	37380	103677
265	37524	103544
266	37674	103428
267	37809	103271
268	37962	103161
269	38162	103180
270	38356	103181
271	38531	103127
272	38723	103121
273	38887	103038
274	39041	102927
275	39187	102796
276	39349	102707
277	39568	102765
278	39757	102743
279	39910	102626
280	40059	102500
281	40211	102382
282	40395	102343
283	40569	102280
284	40747	102225
285	40893	102091
286	41049	101979
287	41185	101820
288	41320	101656
289	41464	101516
290	41617	101396
291	41780	101303
292	41940	101200
293	42085	101062
294	42235	100935
295	42391	100822
296	42549	100714
297	42700	100589
298	42860	100485
299	43010	100357
300	43160	100229
301	43308	100096
302	43448	99945
303	43589	99796
304	43729	99646
305	43882	99525
306	44027	99384
307	44170	99240
308	44329	99132
309	44485	99015
310	44641	98901
311	44787	98761
312	44929	98615
313	45068	98462
314	45212	98319
315	45363	98192
316	45505	98045
317	45649	97902
318	45804	97784
319	45985	97718
320	46149	97618
321	46298	97484
322	46444	97345
323	46594	97216
324	46747	97090
325	46901	96968
326	47042	96819
327	47199	96702
328	47340	96551
329	47480	96399
330	47610	96227
331	47751	96077
332	47889	95921
333	48027	95768
334	48171	95623
335	48312	95475
336	48441	95301
337	48581	95150
338	48728	95012
339	48868	94862
340	49006	94707
341	49153	94570
342	49295	94423
343	49431	94265
344	49572	94115
345	49713	93966
346	49846	93802
347	49979	93640
348	50122	93495
349	50262	93344
350	50398	93186
351	50527	93016
352	50672	92875
353	50822	92743
354	50967	92602
355	51101	92442
356	51237	92284
357	51393	92163
358	51528	92005
359	51672	91861
360	51820	91725
361	51958	91573
362	52086	91403
363	52219	91241
364	52358	91089
365	52489	90924
366	52630	90777
367	52770	90628
368	52910	90479
369	53043	90317
370	53183	90168
371	53333	90035
372	53467	89876
373	53594	89706
374	53737	89562
375	53865	89394
376	54015	89261
377	54153	89109
378	54290	88956
379	54432	88811
380	54587	88686
381	54724	88532
382	54866	88387
383	55003	88234
384	55137	88077
385	55267	87912
386	55402	87756
387	55534	87596
388	55666	87435
389	55802	87281
390	55945	87137
391	56088	86994
392	56224	86840
393	56376	86711
394	56518	86566
395	56652	86409
396	56779	86242
397	56922	86098
398	57060	85947
399	57199	85798
400	57325	85631
401	57476	85499
402	57630	85372
403	57769	85223
404	57907	85073
405	58041	84918
406	58183	84774
407	58325	84629
408	58464	84480
409	58601	84329
410	58744	84186
411	58881	84035
412	59013	83876
413	59152	83728
414	59305	83599
415	59444	83450
416	59582	83301
417	59715	83144
418	59839	82974
419	59976	82824
420	60112	82672
421	60251	82524
422	60391	82378
423	60535	82237
424	60667	82079
425	60817	81947
426	60952	81793
427	61098	81654
428	61240	81511
429	61387	81373
430	61519	81217
431	61660	81071
432	61787	80909
433	61922	80756
434	62050	80594
435	62180	80435
436	62317	80285
437	62451	80132
438	62581	79973
439	62727	79835
440	62856	79675
441	63006	79542
442	63141	79390
443	63274	79236
444	63403	79075
445	63536	78921
446	63677	78778
447	63813	78627
448	63951	78479
449	64093	78336
450	64223	78178
451	64363	78034
452	64503	77887
453	64653	77754
454	64789	77604
455	64933	77464
456	65070	77316
457	65207	77167
458	65359	77035
459	65514	76908
460	65680	76793
461	65822	76650
462	65968	76511
463	66105	76363
464	66244	76217
465	66388	76075
466	66534	75937
467	66676	75795
468	66812	75645
469	66947	75493
470	67109	75373
471	67280	75262
472	67458	75159
473	67659	75081
474	67824	74964
475	67976	74830
476	68123	74692
477	68276	74561
478	68439	74440
479	68630	74350
480	68809	74245
481	68950	74100
482	69087	73951
483	69219	73796
484	69411	73705
485	69596	73606
486	69755	73479
487	69892	73329
488	70032	73183
489	70166	73030
490	70313	72890
491	70489	72781
492	70618	72624
493	70762	72481
494	70900	72332
495	71032	72177
496	71168	72027
497	71298	71870
498	71425	71712
499	71579	71579
500	71711	71425
501	71849	71276
502	71977	71119
503	72113	70969
504	72252	70821
505	72386	70669
506	72533	70530
507	72672	70384
508	72810	70235
509	72941	70080
510	73075	69929
511	73206	69775
512	73343	69626
513	73480	69477
514	73607	69319
515	73740	69167
516	73878	69019
517	74010	68866
518	74141	68713
519	74276	68562
520	74412	68413
521	74559	68274
522	74701	68131
523	74829	67975
524	74968	67829
525	75103	67678
526	75234	67525
527	75371	67377
528	75508	67229
529	75646	67083
530	75791	66941
531	75922	66789
532	76066	66647
533	76195	66492
534	76347	66358
535	76483	66209
536	76619	66061
537	76770	65925
538	76906	65777
539	77059	65642
540	77202	65500
541	77331	65346
542	77462	65193
543	77613	65058
544	77748	64909
545	77879	64756
546	78015	64608
547	78149	64459
548	78283	64309
549	78427	64168
550	78562	64019
551	78701	63873
552	78835	63724
553	78976	63579
554	79107	63428
555	79243	63281
556	79368	63124
557	79494	62969
558	79628	62819
559	79772	62678
560	79910	62532
561	80047	62385
562	80182	62237
563	80316	62088
564	80453	61941
565	80592	61796
566	80735	61655
567	80876	61511
568	81010	61363
569	81163	61228
570	81298	61080
571	81427	60928
572	81560	60779
573	81716	60646
574	81844	60493
575	81973	60341
576	82119	60202
577	82267	60064
578	82402	59915
579	82531	59764
580	82665	59616
581	82801	59469
582	82939	59323
583	83077	59178
584	83214	59032
585	83348	58884
586	83495	58745
587	83641	58606
588	83774	58456
589	83914	58313
590	84047	58165
591	84184	58019
592	84321	57873
593	84474	57738
594	84607	57590
595	84747	57446
596	84876	57295
597	85015	57150
598	85149	57003
599	85282	56854
600	85410	56703
601	85549	56559
602	85676	56407
603	85818	56264
604	85959	56122
605	86100	55979
606	86245	55839
607	86383	55694
608	86519	55548
609	86660	55406
610	86793	55258
611	86930	55112
612	87063	54965
613	87208	54824
614	87353	54684
615	87479	54532
616	87612	54384
617	87753	54242
618	87894	54100
619	88041	53961
620	88184	53819
621	88322	53674
622	88462	53532
623	88611	53393
624	88750	53250
625	88875	53098
626	89027	52961
627	89164	52817
628	89297	52669
629	89430	52522
630	89592	52392
631	89733	52249
632	89888	52115
633	90028	51972
634	90161	51825
635	90304	51683
636	90440	51538
637	90573	51391
638	90705	51243
639	90864	51111
640	91005	50968
641	91141	50823
642	91273	50675
643	91410	50531
644	91548	50387
645	91694	50247
646	91839	50107
647	91969	49958
648	92095	49808
649	92224	49659
650	92355	49511
651	92491	49366
652	92627	49221
653	92756	49073
654	92899	48931
655	93038	48788
656	93172	48642
657	93316	48501
658	93449	48355
659	93579	48207
660	93714	48062
661	93844	47914
662	93987	47773
663	94130	47632
664	94315	47512
665	94492	47388
666	94676	47267
667	94858	47145
668	95043	47024
669	95227	46902
670	95387	46769
671	95534	46629
672	95687	46493
673	95827	46349
674	95960	46203
675	96100	46060
676	96244	45918
677	96382	45774
678	96519	45630
679	96655	45484
680	96790	45339
681	96929	45195
682	97073	45054
683	97198	44904
684	97332	44758
685	97489	44623
686	97627	44479
687	97761	44333
688	97946	44210
689	98139	44091
690	98309	43961
691	98447	43817
692	98600	43680
693	98738	43536
694	98872	43390
695	99018	43249
696	99166	43109
697	99297	42962
698	99433	42817
699	99568	42672
700	99700	42525
701	99849	42386
702	100023	42257
703	100214	42135
704	100385	42005
705	100622	41902
706	100765	41759
707	100900	41614
708	101045	41472
709	101191	41331
710	101340	41191
711	101479	41047
712	101644	40914
713	101804	40778
714	101968	40644
715	102123	40507
716	102296	40376
717	102443	40235
718	102595	40096
719	102737	39953
720	102879	39810
721	103037	39673
722	103175	39529
723	103331	39391
724	103490	39255
725	103638	39114
726	103780	38971
727	103934	38832
728	104086	38693
729	104240	38554
730	104390	38414
731	104542	38275
732	104698	38137
733	104850	37997
734	105015	37862
735	105158	37719
736	105303	37577
737	105452	37437
738	105599	37295
739	105744	37153
740	105907	37017
741	106060	36878
742	106208	36736
743	106359	36596
744	106509	36456
745	106657	36315
746	106821	36179
747	106956	36033
748	107092	35888
749	107235	35745
750	107373	35600
751	107509	35455
752	107658	35314
753	107790	35167
754	107931	35024
755	108066	34878
756	108207	34735
757	108349	34591
758	108487	34447
759	108641	34307
760	108784	34164
761	108918	34019
762	109064	33877
763	109202	33732
764	109337	33587
765	109472	33441
766	109606	33296
767	109738	33150
768	109872	33004
769	110015	32861
770	110153	32717
771	110314	32579
772	110473	32441
773	110603	32295
774	110730	32147
775	110881	32007
776	111036	31867
777	111171	31722
778	111311	31578
779	111469	31440
780	111634	31303
781	111769	31158
782	111906	31013
783	112047	30870
784	112177	30723
785	112316	30579
786	112453	30435
787	112585	30289
788	112719	30144
789	112848	29997
790	112982	29852
791	113117	29707
792	113263	29565
793	113397	29420
794	113537	29276
795	113678	29133
796	113805	28986
797	113938	28841
798	114086	28700
799	114225	28556
800	114360	28411
801	114498	28267
802	114634	28123
803	114772	27979
804	114908	27834
805	115044	27690
806	115195	27549
807	115335	27406
808	115469	27261
809	115598	27115
810	115745	26973
811	115884	26830
812	116020	26686
813	116158	26542
814	116308	26401
815	116449	26258
816	116581	26113
817	116722	25970
818	116862	25826
819	117005	25684
820	117144	25540
821	117283	25397
822	117425	25254
823	117567	25111
824	117700	24966
825	117838	24823
826	117988	24681
827	118126	24538
828	118271	24396
829	118408	24252
830	118542	24107
831	118682	23964
832	118831	23823
833	118995	23685
834	119140	23542
835	119279	23399
836	119416	23255
837	119564	23113
838	119706	22971
839	119837	22826
840	119991	22685
841	120126	22541
842	120266	22398
843	120410	22255
844	120562	22115
845	120713	21973
846	120867	21833
847	121011	21690
848	121154	21548
849	121309	21407
850	121447	21264
851	121598	21122
852	121736	20979
853	121882	20837
854	122024	20694
855	122172	20552
856	122305	20408
857	122447	20265
858	122593	20123
859	122744	19981
860	122897	19840
861	123034	19696
862	123178	19554
863	123305	19409
864	123446	19266
865	123597	19124
866	123737	18981
867	123880	18839
868	124034	18697
869	124184	18556
870	124342	18415
871	124481	18272
872	124610	18127
873	124749	17984
874	124903	17843
875	125046	17700
876	125195	17558
877	125332	17415
878	125474	17272
879	125610	17128
880	125740	16984
881	125872	16840
882	126010	16696
883	126140	16552
884	126294	16411
885	126417	16265
886	126552	16122
887	126682	15977
888	126812	15833
889	126946	15690
890	127087	15547
891	127230	15404
892	127387	15263
893	127528	15120
894	127663	14977
895	127799	14833
896	127940	14690
897	128070	14546
898	128213	14404
899	128353	14261
900	128487	14117
901	128619	13974
902	128765	13831
903	128919	13690
904	129055	13547
905	129194	13404
906	129332	13261
907	129484	13119
908	129618	12976
909	129747	12832
910	129892	12689
911	130027	12546
912	130176	12404
913	130315	12261
914	130460	12119
915	130601	11976
916	130742	11833
917	130892	11691
918	131034	11549
919	131184	11407
920	131321	11264
921	131454	11120
922	131594	10978
923	131741	10835
924	131874	10692
925	132013	10549
926	132158	10407
927	132292	10264
928	132435	10121
929	132580	9979
930	132725	9836
931	132859	9693
932	133012	9551
933	133152	9409
934	133287	9265
935	133428	9123
936	133572	8980
937	133724	8838
938	133865	8696
939	134011	8553
940	134152	8411
941	134291	8268
942	134452	8127
943	134596	7984
944	134740	7842
945	134878	7699
946	135014	7556
947	135160	7413
948	135296	7270
949	135432	7128
950	135575	6985
951	135708	6842
952	135853	6699
953	135991	6557
954	136131	6414
955	136278	6272
956	136420	6129
957	136551	5986
958	136688	5843
959	136824	5701
960	136961	5558
961	137094	5415
962	137232	5272
963	137377	5130
964	137517	4987
965	137649	4844
966	137791	4702
967	137928	4559
968	138059	4416
969	138189	4273
970	138324	4131
971	138479	3989
972	138619	3846
973	138762	3704
974	138895	3561
975	139057	3419
976	139194	3276
977	139325	3134
978	139453	2991
979	139599	2848
980	139736	2706
981	139872	2563
982	140018	2421
983	140155	2278
984	140285	2136
985	140431	1993
986	140566	1851
987	140693	1708
988	140830	1566
989	140973	1423
990	141118	1281
991	141255	1139
992	141393	996
993	141524	854
994	141662	711
995	141792	569
996	141920	427
997	142074	284
998	142213	142
999	142350	0
